Year,Cases,Loss_Eok,Arrest_Cases,Arrest_People,Type,Loss_Man,Loss_Per_Case_Man,Arrest_People_per_ArrestCase,Arrest_Coverage,Loss_Eok_YoY,Cases_YoY,Loss_Per_Case_Man_YoY,Arrest_Cases_YoY,Arrest_People_YoY,Loss_Eok_Index,Cases_Index,Loss_Per_Case_Index,Types_Total_Cases,Types_Total_Loss_Eok,Share_Cases_in_Types,Share_Loss_in_Types,Mix_Severity_Index,All_Total_Cases,Contribution_per_AllCase_Man
2016,3384,541,3860,5682,기관사칭형,5410000,1598.6997635933806,1.472020725388601,1.1406619385342789,,,,,,100.0,100.0,100.0,17040,1468,0.19859154929577466,0.3685286103542234,1.85571144220921,17040,317.48826291079814
2017,5685,967,3776,4925,기관사칭형,9670000,1700.967458223395,1.304290254237288,0.6642040457343887,0.7874306839186691,0.6799645390070923,0.06396929364657455,-0.021761658031088094,-0.13322773671242516,178.7430683918669,167.99645390070924,106.39692936465745,24259,2470,0.23434601591162044,0.39149797570850203,1.6705979582607828,24259,398.6149470299683
2018,6221,1430,4673,5491,기관사칭형,14300000,2298.6658093554092,1.1750481489407234,0.7511654074907571,0.47880041365046533,0.09428320140721191,0.3513872932973632,0.23755296610169485,0.11492385786802028,264.3253234750462,183.8356973995272,143.78345838925517,34132,4040,0.18226297902261807,0.35396039603960394,1.9420312228940302,34132,418.9616781905543
2019,7219,2506,5487,6045,기관사칭형,25060000,3471.3949300457125,1.1016949152542372,0.7600775730710625,0.7524475524475525,0.16042436907249646,0.5101781720149914,0.17419216777230906,0.10089236933163348,463.2162661737523,213.3274231678487,217.13864035627896,37667,6398,0.19165317121087425,0.3916849015317287,2.043717299625381,37667,665.3038468686118
2020,7844,2144,4297,4797,기관사칭형,21440000,2733.299337072922,1.116360251338143,0.5478072412034676,-0.14445331205107736,0.08657708823936838,-0.21262219017041406,-0.21687625296154545,-0.20645161290322578,396.3031423290203,231.79669030732862,170.9701470731011,31681,7000,0.2475931946592595,0.3062857142857143,1.2370522328258176,31681,676.7463148259209
2021,7017,1741,1954,1895,기관사칭형,17410000,2481.1172865897106,0.9698055271238485,0.2784665811600399,-0.18796641791044777,-0.10543090260071397,-0.09226287332044347,-0.5452641377705376,-0.6049614342297269,321.8114602587801,207.35815602836877,155.19595005211795,30982,7744,0.22648634691110966,0.22481921487603307,0.9926391499628412,30982,561.9391904977083
2022,8930,2077,4103,4500,기관사칭형,20770000,2325.8678611422174,1.096758469412625,0.45946248600223966,0.19299253302699593,0.2726236283311956,-0.0625723847423929,1.0997952917093143,1.37467018469657,383.91866913123846,263.88888888888886,145.48496935499566,21832,5438,0.4090326126786369,0.38194189040088267,0.933768796330579,21832,951.3558079882741
2023,11314,2364,7352,8039,기관사칭형,23640000,2089.446703199576,1.093443960826986,0.6498143892522539,0.13818006740491096,0.2669652855543112,-0.10164857681404849,0.7918596149159152,0.7864444444444445,436.9685767097967,334.338061465721,130.69662927222487,18902,4472,0.598560998836102,0.5286225402504472,0.8831556704802856,18902,1250.6613056819385
2024,9519,5349,7150,7449,기관사칭형,53490000,5619.287740308856,1.0418181818181818,0.7511293203067549,1.262690355329949,-0.15865299628778506,1.6893663914490014,-0.0274755168661589,-0.0733922129618112,988.724584103512,281.29432624113474,351.4911222403913,20839,8545,0.4567877537309852,0.6259801053247513,1.3703959885347718,20839,2566.821824463746
2016,13656,927,7526,9884,대출사기형,9270000,678.8224956063269,1.313313845336168,0.5511130638547159,,,,,,100.0,100.0,100.0,17040,1468,0.8014084507042254,0.6314713896457765,0.7879519976247826,17040,544.0140845070423
