Year,Month,Cases_Monthly,Date,YearMonth,MoM,YoY,MA_3,MA_12,STD_12,Seasonality_vs_MonthAvg,Is_Peak_Top10pct,Cases_Index_2018Start,Is_Partial_Year
2018,1,3035.0,2018-01-01,2018-01,,,,,,0.2508371541909227,0,100.0,0
2018,2,2254.0,2018-02-01,2018-02,-0.25733113673805597,,,,,0.17518248175182483,0,74.26688632619441,0
2018,3,2989.0,2018-03-01,2018-03,0.326086956521739,,2759.3333333333335,,,0.1012757334315848,0,98.48434925864909,0
2018,4,2918.0,2018-04-01,2018-04,-0.023753763800602234,,2720.3333333333335,,,0.16070007955449483,0,96.14497528830313,0
2018,5,2600.0,2018-05-01,2018-05,-0.10897875257025358,,2835.6666666666665,,,0.09508265768137303,0,85.667215815486,0
2018,6,2542.0,2018-06-01,2018-06,-0.02230769230769236,,2686.6666666666665,,,0.10931704123936292,0,83.75617792421747,0
2018,7,3009.0,2018-07-01,2018-07,0.18371361132966157,,2717.0,,,0.2734582829504233,0,99.14332784184514,0
2018,8,2890.0,2018-08-01,2018-08,-0.039548022598870025,,2813.6666666666665,,,0.2804607886575099,0,95.22240527182866,0
2018,9,2639.0,2018-09-01,2018-09,-0.08685121107266436,,2846.0,,,0.3630192577289162,0,86.95222405271828,0
2018,10,2605.0,2018-10-01,2018-10,-0.012883668056081876,,2711.3333333333335,,,0.34100603029857335,0,85.83196046128501,0
2018,11,3537.0,2018-11-01,2018-11,0.35777351247600775,,2927.0,,,0.40964472785242534,1,116.54036243822077,0
2018,12,3114.0,2018-12-01,2018-12,-0.11959287531806617,,3085.3333333333335,2844.3333333333335,336.2164706725642,0.2517514643390375,0,102.6029654036244,0
2019,1,3529.0,2019-01-01,2019-01,0.13326910725754648,0.16276771004942336,3393.3333333333335,2885.5,387.94739568423694,0.45443305342331675,1,116.27677100494233,0
